stadsdeel,postcode_min,postcode_max
N,1032ZB,1032ZD
N,1032ZG,1032ZG
N,1033AA,1033BT
N,1033BW,1033DA
N,1033DC,1033MJ
N,1033ML,1033ML
N,1033MN,1033MR
N,1033MV,1033MV
N,1033MX,1033MZ
N,1033NL,1033NP
N,1033NS,1033PE
N,1033PH,1033SZ
N,1033TB,1033VZ
N,1033WB,1033WL
N,1033WN,1033WV
N,1033WX,1033ZZ
N,1034AA,1034AA
N,1034AC,1034AC
N,1034BB,1034BE
N,1034BJ,1034BX
N,1034CA,1034CH
N,1034CK,1034CN
N,1034CR,1034CS
N,1034DA,1034DD
N,1034DG,1034DG
N,1034DK,1034DN
N,1034DR,1034DW
N,1034EC,1034GJ
N,1034HC,1034HW
N,1034JA,1034JG
N,1034JJ,1034JJ
N,1034JL,1034JP
N,1034JW,1034JZ
N,1034KB,1034KE
N,1034KL,1034ML
N,1034MN,1034MV
N,1034MX,1034TV
N,1034VA,1034VD
N,1034VG,1034VG
N,1034VW,1034VZ
N,1034WB,1034WL
N,1034WN,1034WV
N,1034WX,1034WZ
N,1034XC,1034ZM
N,1034ZP,1034ZP
N,1035AA,1035BX
N,1035CA,1035CZ
N,1035EA,1035EX
N,1035GE,1035GE
N,1035HA,1035HA
N,1035HC,1035HV
N,1035HX,1035JE
N,1035JH,1035JH
N,1035JN,1035KS
N,1035KV,1035KX
N,1035LA,1035LD
N,1035MA,1035MA
N,1035MZ,1035MZ
N,1035NB,1035NH
N,1035NL,1035NX
N,1035PC,1035PK
N,1035PM,1035PX
N,1035RA,1035RA
N,1035RD,1035RJ
N,1035RL,1035RN
N,1035RW,1035RW
N,1035SB,1035SN
N,1035SR,1035TJ
N,1035TL,1035TP
N,1035TS,1035TZ
N,1035VB,1035VN
N,1035VR,1035VZ
N,1035XA,1035XZ
N,1036KC,1036KT
N,1036LB,1036LB
N,1036LD,1036LD
N,1037RK,1037RK
N,1037RP,1037RS
T,1101AA,1101AA
T,1101AE,1101AK
T,1101AM,1101AX
T,1101BA,1101BH
T,1101BK,1101CT
T,1101CX,1101CX
T,1101DJ,1101DJ
T,1101DL,1101DM
T,1101DS,1101DT
T,1101DZ,1101EE
T,1101EJ,1101EJ
T,1101EM,1101EP
T,1101EX,1101GC
T,1101GE,1101GH
T,1101HE,1101HG
T,1102AA,1102AD
T,1102AG,1102BH
T,1102BM,1102CR
T,1102CT,1102CX
T,1102DA,1102DB
T,1102DD,1102ER
T,1102GA,1102GR
T,1102HA,1102HN
T,1102JA,1102KA
T,1102LA,1102LC
T,1102MA,1102MB
T,1102ME,1102ML
T,1102MV,1102NP
T,1102PA,1102PC
T,1102PE,1102PJ
T,1102PL,1102PL
T,1102PN,1102PT
T,1102RA,1102SX
T,1102TA,1102VZ
T,1102WB,1102WB
T,1102WD,1102WL
T,1102WN,1102WV
T,1102WX,1102ZX
T,1103AA,1103AZ
T,1103BE,1103BH
T,1103BK,1103BK
T,1103BZ,1103CX
T,1103DA,1103DV
T,1103EA,1103GA
T,1103GG,1103GJ
T,1103GL,1103GM
T,1103GR,1103GT
T,1103GX,1103GZ
T,1103JB,1103JB
T,1103JL,1103JP
T,1103JT,1103ML
T,1103MN,1103MV
T,1103MX,1103NB
T,1103PA,1103RR
T,1103SB,1103SM
T,1103TA,1103TX
T,1104BB,1104BC
T,1104CA,1104CE
T,1104CH,1104CH
T,1104DA,1104DP
T,1104GA,1104HJ
T,1104HL,1104HR
T,1104HT,1104HX
T,1104JA,1104JN
T,1104KA,1104KK
T,1104KM,1104KR
T,1104KT,1104KT
T,1104LA,1104LV
